Latitude (decimal degrees):	49.596
Longitude (decimal degrees):	11.008
Elevation (m):	281
Radiation database:	PVGIS-ERA5


Slope: 41 deg. (optimum)
Azimuth: -6 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20210726:0330,0.0,0.0,0.0,0.0,-1.94,15.15,1.24,0.0
20210726:0430,16.11,0.0,31.55,0.93,6.63,14.88,1.17,0.0
20210726:0530,76.74,41.88,78.01,4.09,15.92,15.78,0.69,0.0
20210726:0630,180.72,87.52,145.42,6.19,25.57,18.14,0.69,0.0
20210726:0730,348.24,251.76,176.97,10.16,35.23,19.35,1.45,0.0
20210726:0830,425.5,278.07,248.03,12.07,44.44,20.68,1.59,0.0
20210726:0930,395.17,251.33,238.83,11.22,52.46,21.82,1.45,0.0
20210726:1030,212.08,92.84,174.52,6.55,58.11,22.55,1.52,0.0
20210726:1130,413.87,292.27,221.1,11.64,59.84,22.29,1.59,0.0
20210726:1230,538.37,460.29,222.46,15.27,56.98,23.13,1.31,0.0
20210726:1330,516.91,423.55,236.15,15.36,50.59,24.0,1.1,0.0
20210726:1430,410.96,376.99,144.91,13.04,42.17,24.56,0.76,0.0
20210726:1530,253.88,198.69,131.6,9.43,32.79,24.74,0.62,0.0
20210726:1630,102.79,54.88,98.32,5.37,23.09,24.35,0.69,0.0
20210726:1730,30.7,0.0,51.95,1.54,13.5,22.77,1.45,0.0
20210726:1830,5.89,0.0,17.15,0.51,4.36,21.62,1.72,0.0
20210726:1930,0.0,0.0,0.0,0.0,0.0,20.36,0.97,0.0
20210726:2030,0.0,0.0,0.0,0.0,0.0,19.34,1.79,0.0
20210726:2130,0.0,0.0,0.0,0.0,0.0,18.87,2.14,0.0
20210726:2230,0.0,0.0,0.0,0.0,0.0,18.57,2.21,0.0
20210726:2330,0.0,0.0,0.0,0.0,0.0,17.99,2.0,0.0
20210727:0030,0.0,0.0,0.0,0.0,0.0,17.37,1.86,0.0
20210727:0130,0.0,0.0,0.0,0.0,0.0,16.72,1.79,0.0
20210727:0230,0.0,0.0,0.0,0.0,0.0,16.21,1.86,0.0
20210727:0330,0.0,0.0,0.0,0.0,-2.12,15.79,1.86,0.0
20210727:0430,11.76,0.0,25.57,0.76,6.46,15.36,1.72,0.0
20210727:0530,70.63,61.86,57.48,4.42,15.75,15.47,1.1,0.0
20210727:0630,236.19,208.62,94.25,7.99,25.41,17.6,1.17,0.0
20210727:0730,416.29,389.55,123.03,11.87,35.07,18.83,1.31,0.0
20210727:0830,552.14,551.68,140.57,15.08,44.26,20.29,1.17,0.0
20210727:0930,563.06,473.4,237.98,15.43,52.27,21.8,1.45,0.0
20210727:1030,543.18,368.91,318.22,15.32,57.9,22.77,1.72,0.0
20210727:1130,577.81,481.39,250.01,15.99,59.62,23.45,2.07,0.0
20210727:1230,559.11,456.44,251.6,15.84,56.77,24.01,2.07,0.0
20210727:1330,496.12,389.41,238.49,14.65,50.4,24.59,1.72,0.0
20210727:1430,330.62,176.53,241.27,10.64,42.0,24.97,1.52,0.0
20210727:1530,212.29,81.12,194.3,7.64,32.63,24.92,1.31,0.0
20210727:1630,114.92,45.12,120.72,5.52,22.93,24.74,0.97,0.0
20210727:1730,37.56,0.0,61.18,1.81,13.33,24.5,0.62,0.0
20210727:1830,5.3,0.0,16.3,0.48,4.19,23.68,0.83,0.0
20210727:1930,0.0,0.0,0.0,0.0,0.0,21.85,0.9,0.0
20210727:2030,0.0,0.0,0.0,0.0,0.0,20.47,1.31,0.0
20210727:2130,0.0,0.0,0.0,0.0,0.0,19.74,0.76,0.0
20210727:2230,0.0,0.0,0.0,0.0,0.0,19.17,0.76,0.0
20210727:2330,0.0,0.0,0.0,0.0,0.0,18.1,1.59,0.0
20210728:0030,0.0,0.0,0.0,0.0,0.0,17.26,0.9,0.0
20210728:0130,0.0,0.0,0.0,0.0,0.0,17.23,0.14,0.0
20210728:0230,0.0,0.0,0.0,0.0,0.0,16.49,1.1,0.0
20210728:0330,0.0,0.0,0.0,0.0,-2.31,16.58,1.17,0.0
20210728:0430,5.79,0.0,16.71,0.49,6.28,16.63,1.38,0.0
20210728:0530,59.33,39.96,59.28,3.44,15.59,16.93,1.24,0.0
20210728:0630,187.57,115.91,125.34,6.35,25.24,17.87,1.45,0.0
20210728:0730,211.46,85.67,177.35,6.61,34.9,18.58,1.93,0.0
20210728:0830,237.73,92.45,200.72,7.25,44.09,18.82,1.86,0.0
20210728:0930,193.92,60.7,181.61,6.11,52.08,19.12,1.93,0.0
20210728:1030,111.66,17.79,129.64,3.89,57.68,19.15,2.14,0.0
20210728:1130,96.64,0.0,130.34,3.56,59.39,18.82,1.86,0.0
20210728:1230,62.6,0.0,90.11,2.46,56.56,18.55,1.93,0.0
20210728:1330,241.71,76.68,221.04,7.62,50.21,18.55,1.86,0.0
20210728:1430,290.11,170.31,184.84,9.02,41.82,19.55,2.34,0.0
20210728:1530,220.73,154.09,125.93,7.91,32.46,20.52,2.41,0.0
20210728:1630,101.11,69.76,82.18,5.61,22.76,20.92,2.48,0.0
20210728:1730,23.76,0.0,42.56,1.26,13.16,21.06,2.69,0.0
20210728:1830,2.48,0.0,11.14,0.33,4.01,20.45,1.93,0.0
20210728:1930,0.0,0.0,0.0,0.0,0.0,19.39,1.93,0.0
20210728:2030,0.0,0.0,0.0,0.0,0.0,18.9,1.79,0.0
20210728:2130,0.0,0.0,0.0,0.0,0.0,18.4,2.14,0.0
20210728:2230,0.0,0.0,0.0,0.0,0.0,17.66,2.34,0.0
20210728:2330,0.0,0.0,0.0,0.0,0.0,16.85,2.28,0.0
20210729:0030,0.0,0.0,0.0,0.0,0.0,16.13,2.14,0.0
20210729:0130,0.0,0.0,0.0,0.0,0.0,15.81,2.07,0.0
20210729:0230,0.0,0.0,0.0,0.0,0.0,15.43,2.0,0.0
20210729:0330,0.0,0.0,0.0,0.0,-2.5,15.32,2.0,0.0
20210729:0430,8.49,0.0,20.77,0.61,6.11,14.95,2.0,0.0
20210729:0530,61.68,44.12,58.87,3.6,15.42,15.74,1.86,0.0
20210729:0630,162.52,109.91,101.2,5.55,25.08,17.48,1.79,0.0
20210729:0730,279.9,155.86,186.38,8.29,34.73,18.82,2.9,0.0
20210729:0830,428.16,337.54,177.57,11.46,43.91,19.51,3.93,0.0
20210729:0930,509.09,422.69,191.06,13.29,51.88,20.5,4.76,0.0
20210729:1030,613.17,562.85,184.88,15.87,57.46,21.49,4.97,0.0
20210729:1130,701.3,677.64,191.32,18.48,59.16,22.39,4.9,0.0
20210729:1230,655.06,639.98,169.24,17.63,56.34,23.09,4.9,0.0
20210729:1330,528.18,491.15,153.86,14.77,50.01,23.41,5.03,0.0
20210729:1430,430.86,382.48,144.08,13.03,41.64,23.26,4.9,0.0
20210729:1530,275.17,234.67,113.26,9.91,32.28,23.14,4.69,0.0
20210729:1630,111.34,99.96,71.48,6.74,22.59,22.7,4.14,0.0
20210729:1730,28.06,0.0,48.33,1.43,12.99,22.02,3.1,0.0
20210729:1830,3.8,0.0,13.58,0.4,3.82,20.92,2.55,0.0
20210729:1930,0.0,0.0,0.0,0.0,0.0,19.17,1.66,0.0
20210729:2030,0.0,0.0,0.0,0.0,0.0,17.62,1.59,0.0
20210729:2130,0.0,0.0,0.0,0.0,0.0,16.18,1.45,0.0
20210729:2230,0.0,0.0,0.0,0.0,0.0,15.58,1.24,0.0
20210729:2330,0.0,0.0,0.0,0.0,0.0,15.83,1.03,0.0
20210730:0030,0.0,0.0,0.0,0.0,0.0,15.62,0.97,0.0
20210730:0130,0.0,0.0,0.0,0.0,0.0,15.48,0.83,0.0
20210730:0230,0.0,0.0,0.0,0.0,0.0,15.59,0.48,0.0
20210730:0330,0.0,0.0,0.0,0.0,-2.69,13.72,1.1,0.0
20210730:0430,10.01,0.0,22.81,0.67,5.93,12.34,1.45,0.0
20210730:0530,70.28,69.78,51.08,4.52,15.24,12.9,1.1,0.0
20210730:0630,236.73,214.71,88.16,7.88,24.91,16.39,0.83,0.0
20210730:0730,398.53,383.21,105.71,11.18,34.56,18.46,1.31,0.0
20210730:0830,579.71,596.76,125.74,15.53,43.72,20.18,1.79,0.0
20210730:0930,683.69,733.26,139.19,18.27,51.67,21.71,1.93,0.0
20210730:1030,706.28,730.43,177.8,18.99,57.23,22.96,2.21,0.0
20210730:1130,678.68,723.47,144.67,18.33,58.92,23.88,2.41,0.0
20210730:1230,703.51,763.29,141.98,19.56,56.11,24.63,2.62,0.0
20210730:1330,616.86,659.14,124.5,17.76,49.8,25.51,2.83,0.0
20210730:1430,478.26,491.11,110.54,14.82,41.45,25.96,2.83,0.0
20210730:1530,304.93,307.62,86.04,11.31,32.1,26.04,2.83,0.0
20210730:1630,108.75,96.98,73.16,6.62,22.41,25.74,2.69,0.0
20210730:1730,36.74,0.0,60.16,1.78,12.8,24.96,1.93,0.0
20210730:1830,3.14,0.0,12.48,0.37,3.63,23.4,1.31,0.0
20210730:1930,0.0,0.0,0.0,0.0,0.0,21.09,1.93,0.0
20210730:2030,0.0,0.0,0.0,0.0,0.0,20.26,1.52,0.0
20210730:2130,0.0,0.0,0.0,0.0,0.0,19.57,1.79,0.0
20210730:2230,0.0,0.0,0.0,0.0,0.0,19.0,2.21,0.0
20210730:2330,0.0,0.0,0.0,0.0,0.0,18.52,2.48,0.0
20210731:0030,0.0,0.0,0.0,0.0,0.0,18.13,2.62,0.0
20210731:0130,0.0,0.0,0.0,0.0,0.0,17.75,2.76,0.0
20210731:0230,0.0,0.0,0.0,0.0,0.0,17.13,2.9,0.0
20210731:0330,0.0,0.0,0.0,0.0,-2.88,16.41,2.83,0.0
20210731:0430,10.42,0.0,23.66,0.7,5.75,15.64,2.69,0.0
20210731:0530,72.21,70.11,54.04,4.59,15.07,15.59,2.76,0.0
20210731:0630,240.18,190.52,112.59,7.83,24.74,16.48,2.83,0.0
20210731:0730,443.53,422.79,110.12,12.11,34.38,17.45,3.66,0.0
20210731:0830,577.87,576.34,121.69,14.96,43.54,18.51,3.79,0.0
20210731:0930,708.7,728.64,143.62,18.21,51.47,19.48,4.0,0.0
20210731:1030,700.33,660.23,203.14,18.1,57.0,20.61,4.48,0.0
20210731:1130,644.36,585.68,204.89,16.85,58.67,21.44,4.69,0.0
20210731:1230,681.89,675.45,167.44,18.23,55.88,21.99,4.55,0.0
20210731:1330,386.35,237.23,233.78,11.21,49.59,22.63,4.69,0.0
20210731:1430,315.75,153.66,234.52,9.86,41.25,22.33,4.34,0.0
20210731:1530,254.13,169.0,151.55,8.94,31.92,22.06,4.07,0.0
20210731:1630,106.72,97.27,67.86,6.45,22.23,21.68,3.59,0.0
20210731:1730,26.79,0.0,46.55,1.38,12.62,21.18,2.83,0.0
20210731:1830,3.32,0.0,12.68,0.37,3.44,20.35,1.86,0.0
20210731:1930,0.0,0.0,0.0,0.0,0.0,19.21,1.66,0.0
20210731:2030,0.0,0.0,0.0,0.0,0.0,17.98,1.79,0.0
20210731:2130,0.0,0.0,0.0,0.0,0.0,16.73,1.66,0.0
20210731:2230,0.0,0.0,0.0,0.0,0.0,16.38,1.03,0.0
20210731:2330,0.0,0.0,0.0,0.0,0.0,15.34,1.31,0.0
20210801:0030,0.0,0.0,0.0,0.0,0.0,14.59,1.45,0.0
20210801:0130,0.0,0.0,0.0,0.0,0.0,14.62,1.45,0.0
20210801:0230,0.0,0.0,0.0,0.0,0.0,14.64,1.17,0.0
20210801:0330,0.0,0.0,0.0,0.0,-3.08,14.41,1.1,0.0
20210801:0430,0.0,0.0,4.27,0.13,5.56,14.26,1.1,0.0
20210801:0530,6.78,0.0,18.15,0.5,14.9,14.12,1.17,0.0
20210801:0630,18.01,0.09,33.98,0.93,24.57,14.16,0.97,0.0
20210801:0730,39.56,0.59,60.64,1.67,34.21,14.32,1.38,0.0
20210801:0830,346.88,178.13,237.69,9.76,43.35,14.75,1.59,0.0
20210801:0930,513.15,434.73,183.22,13.23,51.25,16.69,2.41,0.0
20210801:1030,329.74,208.83,188.15,9.03,56.76,18.27,2.76,0.0
20210801:1130,365.13,150.93,292.51,10.68,58.43,18.48,2.41,0.0
20210801:1230,424.51,277.14,238.96,11.83,55.64,19.13,2.28,0.0
20210801:1330,358.59,231.68,203.98,10.33,49.37,19.69,2.48,0.0
20210801:1430,348.61,265.9,158.93,10.5,41.05,19.91,2.55,0.0
20210801:1530,204.39,148.94,111.04,7.27,31.73,20.06,2.62,0.0
20210801:1630,99.31,72.71,77.26,5.54,22.04,19.48,2.62,0.0
20210801:1730,22.47,0.0,40.45,1.2,12.42,18.44,2.76,0.0
20210801:1830,3.68,0.0,13.21,0.39,3.24,17.63,2.69,0.0
20210801:1930,0.0,0.0,0.0,0.0,0.0,16.01,1.86,0.0
20210801:2030,0.0,0.0,0.0,0.0,0.0,15.44,2.55,0.0
20210801:2130,0.0,0.0,0.0,0.0,0.0,15.06,2.48,0.0
20210801:2230,0.0,0.0,0.0,0.0,0.0,14.67,2.34,0.0
20210801:2330,0.0,0.0,0.0,0.0,0.0,14.27,2.41,0.0
20210802:0030,0.0,0.0,0.0,0.0,0.0,13.63,2.41,0.0
20210802:0130,0.0,0.0,0.0,0.0,0.0,13.03,2.28,0.0
20210802:0230,0.0,0.0,0.0,0.0,0.0,12.53,2.14,0.0
20210802:0330,0.0,0.0,0.0,0.0,-3.28,12.01,2.21,0.0
20210802:0430,8.43,0.0,20.45,0.6,5.38,11.72,2.14,0.0
20210802:0530,66.68,46.38,62.1,3.72,14.72,12.15,1.86,0.0
20210802:0630,218.52,175.64,98.03,7.01,24.39,13.37,2.69,0.0
20210802:0730,297.01,229.35,125.62,8.21,34.03,15.2,3.24,0.0
20210802:0830,447.27,370.74,163.68,11.65,43.15,16.17,2.55,0.0
20210802:0930,495.63,427.26,170.82,12.76,51.04,17.42,2.34,0.0
20210802:1030,324.98,203.4,188.46,8.92,56.52,18.43,2.69,0.0
20210802:1130,300.79,155.49,208.48,8.59,58.17,18.55,2.9,0.0
20210802:1230,572.58,511.27,183.38,15.12,55.4,18.34,3.1,0.0
20210802:1330,380.6,255.62,202.91,10.77,49.15,19.25,3.45,0.0
20210802:1430,230.47,146.14,137.02,7.13,40.85,19.11,2.9,0.0
20210802:1530,265.56,231.71,101.61,9.37,31.53,19.05,2.28,0.0
20210802:1630,101.65,82.48,72.55,5.84,21.84,19.31,2.21,0.0
20210802:1730,22.38,0.0,40.29,1.19,12.22,18.07,2.34,0.0
20210802:1830,2.12,0.0,10.33,0.31,3.03,17.29,1.24,0.0
20210802:1930,0.0,0.0,0.0,0.0,0.0,16.27,1.1,0.0
20210802:2030,0.0,0.0,0.0,0.0,0.0,15.78,1.17,0.0
20210802:2130,0.0,0.0,0.0,0.0,0.0,15.28,1.38,0.0
20210802:2230,0.0,0.0,0.0,0.0,0.0,14.59,1.45,0.0
20210802:2330,0.0,0.0,0.0,0.0,0.0,14.21,1.52,0.0
20210803:0030,0.0,0.0,0.0,0.0,0.0,13.81,1.72,0.0
20210803:0130,0.0,0.0,0.0,0.0,0.0,13.73,1.66,0.0
20210803:0230,0.0,0.0,0.0,0.0,0.0,13.56,1.59,0.0
20210803:0330,0.0,0.0,0.0,0.0,-3.48,13.53,1.45,0.0
20210803:0430,8.96,0.0,21.34,0.63,5.19,13.12,1.45,0.0
20210803:0530,66.52,49.97,60.13,3.79,14.54,13.17,0.97,0.0
20210803:0630,200.71,124.41,129.77,6.53,24.21,14.77,1.03,0.0
20210803:0730,313.25,167.62,213.09,9.08,33.85,15.85,1.24,0.0
20210803:0830,400.0,228.04,259.0,11.17,42.96,17.13,1.31,0.0
20210803:0930,490.05,298.88,305.44,13.51,50.82,18.27,1.38,0.0
20210803:1030,398.94,210.94,277.25,11.27,56.28,19.52,1.93,0.0
20210803:1130,291.37,92.3,262.86,8.83,57.92,18.84,2.9,0.0
20210803:1230,122.6,19.27,139.51,4.19,55.15,17.46,2.69,0.0
20210803:1330,231.83,93.88,189.91,7.1,48.92,16.87,1.52,0.0
20210803:1430,351.56,290.64,137.57,10.49,40.64,17.87,1.17,0.0
20210803:1530,248.74,190.86,123.17,8.73,31.33,19.2,1.45,0.0
20210803:1630,93.3,75.86,68.35,5.39,21.64,19.4,1.17,0.0
20210803:1730,25.68,0.0,44.8,1.32,12.02,19.24,1.38,0.0
20210803:1830,0.64,0.0,7.2,0.21,2.82,17.64,1.72,0.0
20210803:1930,0.0,0.0,0.0,0.0,0.0,15.71,1.72,0.0
20210803:2030,0.0,0.0,0.0,0.0,0.0,15.11,1.79,0.0
20210803:2130,0.0,0.0,0.0,0.0,0.0,14.66,1.86,0.0
20210803:2230,0.0,0.0,0.0,0.0,0.0,14.43,1.93,0.0
20210803:2330,0.0,0.0,0.0,0.0,0.0,14.24,1.93,0.0
20210804:0030,0.0,0.0,0.0,0.0,0.0,14.08,1.93,0.0
20210804:0130,0.0,0.0,0.0,0.0,0.0,13.89,2.0,0.0
20210804:0230,0.0,0.0,0.0,0.0,0.0,13.64,2.0,0.0
20210804:0330,0.0,0.0,0.0,0.0,-3.68,13.33,2.0,0.0
20210804:0430,7.07,0.0,18.5,0.55,5.0,13.08,2.0,0.0
20210804:0530,55.73,39.25,54.47,3.15,14.36,13.15,2.07,0.0
20210804:0630,229.65,181.94,105.74,7.29,24.03,13.8,2.34,0.0
20210804:0730,309.5,230.63,140.26,8.53,33.66,15.17,2.55,0.0
20210804:0830,405.5,276.38,210.39,10.86,42.76,16.14,2.07,0.0
20210804:0930,460.96,324.42,232.18,12.18,50.6,17.03,2.14,0.0
20210804:1030,501.2,348.04,262.83,13.37,56.03,17.87,2.07,0.0
20210804:1130,483.48,329.25,263.08,13.13,57.65,18.66,1.79,0.0
20210804:1230,391.14,233.64,246.23,11.1,54.9,19.33,1.31,0.0
20210804:1330,271.81,96.88,240.47,8.48,48.69,19.85,0.9,0.0
20210804:1430,151.62,26.48,169.12,5.22,40.42,19.98,0.83,0.0
20210804:1530,118.0,12.54,144.0,4.28,31.12,19.66,0.83,0.0
20210804:1630,38.88,0.73,61.12,1.7,21.44,19.36,0.76,0.0
20210804:1730,15.45,0.0,31.1,0.92,11.81,18.68,0.48,0.0
20210804:1830,0.0,0.0,4.39,0.13,2.6,17.9,0.28,0.0
20210804:1930,0.0,0.0,0.0,0.0,0.0,16.89,0.21,0.0
20210804:2030,0.0,0.0,0.0,0.0,0.0,16.16,0.41,0.0
20210804:2130,0.0,0.0,0.0,0.0,0.0,16.06,0.21,0.0
20210804:2230,0.0,0.0,0.0,0.0,0.0,15.75,0.14,0.0
20210804:2330,0.0,0.0,0.0,0.0,0.0,15.4,0.28,0.0
20210805:0030,0.0,0.0,0.0,0.0,0.0,14.27,0.83,0.0
20210805:0130,0.0,0.0,0.0,0.0,0.0,13.89,0.76,0.0
20210805:0230,0.0,0.0,0.0,0.0,0.0,13.24,0.9,0.0
20210805:0330,0.0,0.0,0.0,0.0,0.0,12.94,1.17,0.0
20210805:0430,4.54,0.0,14.47,0.43,4.81,13.05,1.03,0.0
20210805:0530,54.99,0.91,78.73,2.19,14.17,13.08,0.97,0.0
20210805:0630,28.44,0.0,47.56,1.3,23.85,14.44,0.97,0.0
20210805:0730,67.75,0.0,94.77,2.59,33.48,14.58,1.17,0.0
20210805:0830,281.57,98.13,242.5,8.36,42.56,15.14,1.38,0.0
20210805:0930,432.21,321.0,203.59,11.4,50.38,16.81,1.17,0.0
20210805:1030,450.66,307.12,244.07,12.14,55.78,18.31,1.45,0.0
20210805:1130,381.94,240.86,225.34,10.55,57.38,19.29,1.66,0.0
20210805:1230,210.39,66.93,195.05,6.6,54.64,19.48,1.86,0.0
20210805:1330,429.55,313.57,211.66,12.1,48.45,18.89,1.52,0.0
20210805:1430,290.6,215.27,142.17,8.79,40.2,19.77,1.38,0.0
20210805:1530,204.27,134.29,126.62,7.18,30.91,20.04,1.45,0.0
20210805:1630,103.06,78.97,78.0,5.78,21.23,20.0,1.31,0.0
20210805:1730,19.88,0.0,37.24,1.1,11.6,19.65,1.1,0.0
20210805:1830,0.38,0.0,6.59,0.19,2.37,19.02,0.69,0.0
20210805:1930,0.0,0.0,0.0,0.0,0.0,17.43,0.69,0.0
20210805:2030,0.0,0.0,0.0,0.0,0.0,16.3,1.38,0.0
